sector_name,lat,long,address,zone,sector_type,population,housing,income,housing_size,amount_waste,amount_waste_kg,waste_rate,edit_date
ทต.อมก๋อย,17.80347039,98.36259822,ตำบล อมก๋อย อำเภออมก๋อย เชียงใหม่ 50310,ภาคเหนือ,เทศบาลตำบล (ทต.),1077.00,357.00,30000.00,3.02,0.50,500.00,0.46,01-06-22
ทต.บ้านแปะ,18.2108486,98.61665055,"141 หมู่ 8, ถนนเชียงใหม่-ฮอด, ตำบลบ้านแปะ อำเภอจอมทอง จังหวัดเชียงใหม่, 50240",ภาคเหนือ,เทศบาลตำบล (ทต.),12125.00,4016.00,50000.00,3.02,4.90,4900.00,0.40,01-06-22
อบต.เปียงหลวง,19.64951636,98.63517525,ตำบล เปียงหลวง อำเภอ เวียงแหง เชียงใหม่ 50350,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),26211.00,4474.00,NaN,5.86,1.50,1500.00,0.06,01-06-22
อบต.บ่อสลี,18.14597272,98.26370268,ตำบล บ่อสลี อำเภอฮอด เชียงใหม่ 50240,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),8042.00,2556.00,NaN,3.15,NaN,NaN,NaN,01-06-22
อบต.แม่ก๊า,18.5517536,98.93237658,ตำบล แม่ก๊า อำเภอสันป่าตอง เชียงใหม่ 50120,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),7108.00,2841.00,36000.00,2.50,2.25,2250.00,0.32,01-06-22
ทต.ยุหว่า,18.60766941,98.88688095,299 หมู่ 9 ตำบล ยุหว่า อำเภอสันป่าตอง เชียงใหม่ 50120,ภาคเหนือ,เทศบาลตำบล (ทต.),9955.00,4394.00,102562.59,2.27,5.00,5000.00,0.50,01-06-22
ทต.ดอยแก้ว,18.40251152,98.6520995,ตำบล ดอยแก้ว อำเภอจอมทอง เชียงใหม่ 50160,ภาคเหนือ,เทศบาลตำบล (ทต.),4118.00,1408.00,35000.00,2.92,4.10,4100.00,1.00,01-06-22
ทต.แม่ป๋ง,19.25045881,99.18390439,152 หมู่ 1 ตำบล แม่ปั๋ง อำเภอพร้าว เชียงใหม่ 50190,ภาคเหนือ,เทศบาลตำบล (ทต.),6185.00,2579.00,120000.00,2.40,2.00,2000.00,0.32,01-06-22
ทต.บ้านปง ,18.75018176,98.88966978,183 หมู่ 1 ซอย 4 ตำบล หนองควาย อำเภอหางดง เชียงใหม่ 50230,ภาคเหนือ,เทศบาลตำบล (ทต.),5400.00,2129.00,33000.00,2.54,NaN,NaN,NaN,01-06-22
อบต.แม่สาบ,18.95420983,98.6826096,ตำบล แม่สาบ อำเภอสะเมิง เชียงใหม่ 50250,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),3273.00,1184.00,71813.79,2.76,0.03,26.00,0.01,01-06-22
ทต.เมืองนะ,19.59324158,98.96166366,ตำบล เมืองนะ อำเภอเชียงดาว เชียงใหม่ 50170,ภาคเหนือ,เทศบาลตำบล (ทต.),37363.00,9171.00,60000.00,4.07,1.47,1470.00,0.04,01-06-22
อบต.แจ่งหลวง,19.02461696,98.27996054,ตำบล แจ่มหลวง อำเภอ กัลยาณิวัฒนา เชียงใหม่ 58130,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),3921.00,1275.00,47000.00,3.08,0.50,500.00,0.13,01-06-22
อบต.ทุ่งรวงทอง,18.5631562,98.83861223,ตำบล ทุ่งรวงทอง อำเภอ แม่วาง เชียงใหม่ 50360,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),2350.00,697.00,60000.00,3.37,NaN,NaN,NaN,01-06-22
ทต.สุเทพ,18.76960229,98.95003568,98 หมู่ที่ 5 ถนน คัน ถนน คลองชลประทาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200,ภาคเหนือ,เทศบาลตำบล (ทต.),17000.00,11346.00,84454.00,1.50,25.29,25290.00,1.49,01-06-22
อบต.แม่อาย,20.02966893,99.28488343,ตำบล แม่อาย อำเภอ แม่อาย เชียงใหม่ 50280,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),4183.00,1377.00,19000.00,3.04,1.80,1800.00,0.43,01-06-22
ทต.ท่าผา,18.4848653,98.37825484,ตำบล ท่าผา อำเภอแม่แจ่ม เชียงใหม่ 50270,ภาคเหนือ,เทศบาลตำบล (ทต.),4977.00,1800.00,39000.00,2.77,5.10,5100.00,1.02,01-06-22
อบต.กองแขก,18.44247263,98.39338111,ตำบล กองแขก อำเภอแม่แจ่ม เชียงใหม่ 50270,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),6593.00,2278.00,50000.00,2.89,1.00,1000.00,0.15,01-06-22
อบต.ออนเหนือ,18.78899805,99.25269239,163 หมู่ที่ 6 ถนนทางหลวง ตำบล บ้านสหกรณ์ อำเภอ แม่ออน เชียงใหม่ 50130,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),3252.00,543.00,2400.00,5.99,5.00,5000.00,1.54,01-06-22
ทต.ดอนแก้ว,18.69981811,98.99219383,ตำบล ดอนแก้ว อำเภอ สารภี เชียงใหม่ 50140,ภาคเหนือ,เทศบาลตำบล (ทต.),4367.00,2181.00,3500.00,2.00,NaN,NaN,NaN,01-06-22
ทต.ปิงโค้ง,19.42941512,98.97876856,ตำบล ปิงโค้ง อำเภอเชียงดาว เชียงใหม่ 50170,ภาคเหนือ,เทศบาลตำบล (ทต.),13467.00,4301.00,140000.00,3.13,8.80,8800.00,0.65,01-06-22
อบต.กื๊ดช้าง,19.22159747,98.8456043,ตำบล กื้ดช้าง อำเภอแม่แตง เชียงใหม่ 50150,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),5548.00,2250.00,11919.00,2.47,3.79,3790.00,0.68,01-06-22
ทต.หนองผึ้ง ,18.74361353,99.0134327,"444 หมู่ 1, ถนนหลวงสาย 121 ตำบล หนองผึ้ง อำเภอ สารภี เชียงใหม่ 50140",ภาคเหนือ,เทศบาลตำบล (ทต.),15687.00,8766.00,NaN,1.79,19.50,19500.00,1.24,01-06-22
ทต.หนองบัว,15.87020601,100.5966738,ตำบล หนองบัว อำเภอ ไชยปราการ เชียงใหม่ 50320,ภาคเหนือ,เทศบาลตำบล (ทต.),14954.00,4836.00,30000.00,3.09,2.00,2000.00,0.13,01-06-22
อบต.เทพเสด็จ,18.92108561,99.33031878,"เลขที่ 31/1 หมู่ 7, ตำบลเทพเสด็จ อำเภอดอยสะเก็ด จังหวัดเชียงใหม่, 50220",ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),1795.00,770.00,50000.00,2.33,0.20,200.00,0.11,01-06-22
